${\Delta t}_{I,J}$	$I$	$J$
7.874689533244176e-12	12	13
1.4434908208227927e-11	11	12 13
1.52618228264321e-11	9	10
2.3083476416098534e-11	14	15
2.968187596365465e-11	18	19
3.165813827266949e-11	16	17
4.4999550335663286e-11	7	6
8.838767119845964e-11	20	21
1.0381707608041131e-10	4	5
1.307538590694844e-10	2	1
1.3665239903066233e-10	18 19	16 17
1.4080502454294184e-10	11 12 13	14 15
2.0132651102021433e-10	22	23
2.1107008082468454e-10	8	10 9
2.34220045818989e-10	3	1 2
2.909194942998162e-10	20 21	16 17 18 19
4.3554791773669767e-10	4 5	1 2 3
5.916198959418079e-10	11 12 13 14 15	16 17 18 19 20 21
8.751543018612953e-10	22 23	11 12 13 14 15 16 17 18 19 20 21
9.435947532216283e-10	6 7	10 8 9
7.109821473384662e-09	1 2 3 4 5	10 6 7 8 9
104824009297244.17	11 12 13 14 15 16 17 18 19 20 21 22 23	1 10 2 3 4 5 6 7 8 9
