${\Delta t}_{I,J}$	$I$	$J$
6.9500879324303865e-12	12	13
8.917583188607047e-12	9	10
1.1628618399489029e-11	11	12 13
1.4814887341029702e-11	16	17
1.7164007463663392e-11	14	15
2.498601896748449e-11	20	21
2.6158903276026797e-11	18	19
2.8866836725320117e-11	1	3
3.206450278155631e-11	7	6
3.9402163262660065e-11	11 12 13	14 15
5.4835503915001354e-11	4	5
7.580038542739045e-11	16 17	18 19
9.01589376080359e-11	2	1 3
1.1078055637496348e-10	23	20 21
1.6137798232446245e-10	8	10 9
1.780497343417949e-10	4 5	1 2 3
2.0123454347910878e-10	16 17 18 19	20 21 23
3.070656314875742e-10	22	16 17 18 19 20 21 23
4.2843523774761176e-10	11 12 13 14 15	16 17 18 19 20 21 22 23
4.497272556292507e-10	6 7	10 8 9
1.803101329895546e-09	1 2 3 4 5	10 6 7 8 9
21411028915.014244	11 12 13 14 15 16 17 18 19 20 21 22 23	1 10 2 3 4 5 6 7 8 9
