${\Delta t}_{I,J}$	$I$	$J$
3.269954723625387e-12	16	17
3.365468842764292e-12	11	15
4.1748731740750285e-12	20	18
4.255262130456084e-12	12	13
5.283074217834962e-12	21	18 20
6.663575363416737e-12	9	10
6.753404484878216e-12	1	3
7.064832458053721e-12	11 15	12 13
1.1537829451806485e-11	14	11 12 13 15
1.173879758389107e-11	19	16 17
1.4347984790494033e-11	4	6
1.717777835701651e-11	5	1 3
1.912076946037835e-11	23	18 20 21
2.3544688671116293e-11	7	4 6
2.618418460875787e-11	2	1 3 5
3.391556600224894e-11	11 12 13 14 15	16 17 19
5.355038504086101e-11	10 9	4 6 7
5.586753727781862e-11	18 20 21 23	11 12 13 14 15 16 17 19
8.59819204997788e-11	1 2 3 5	10 4 6 7 9
9.571119938140278e-11	22	11 12 13 14 15 16 17 18 19 20 21 23
1.3325899232969493e-10	8	1 10 2 3 4 5 6 7 9
441.56052725052587	11 12 13 14 15 16 17 18 19 20 21 22 23	1 10 2 3 4 5 6 7 8 9
