#	Tc	i	j	k_{i,j}
0	1	1	-3.49357812763069907113022576363952467418851008264530632040322700006932903691880451476126102677366578344848478503093759678154998047791434522001800183648085814137280612037630791554121999845845546096961e-13
0	1	2	4.35446317887913187817006233863229934970147542638974399175274659382679448531791529188077102173401811974466073519225354641267834308812216427065394113182164398539576728472239918707001046987441202732572e-28
0	2	1	3.49357812763069907113022576363952467418851008264530632040322700006932903691880451476126102677366578344848478503093759678154998047791434522001800183648085814137280612037630791554121999845845546096961e-13
0	2	2	-4.35446317887913187817006233863229934970147542638974399175274659382679448531791529188077102173401811974466073519225354641267834308812216427065394113182164398539576728472239918707001046987441202732572e-28
50	1	1	-1.47001128517116846088062837272375744134420295688308212575182581284993108788869552707990433512582367911431616185089909920864117837914169514288058853299387425766527669789574788550113673956687600278392e-9
50	1	2	3.14875534902762030381557341106313275425101803486203372030750468125910922921388738790792060784126718577374277292622346497948697074894883520214588770297149136552563168149757261878394128098916064853026e-22
50	2	1	1.47001128517116846088062837272375744134420295688308212575182581284993108788869552707990433512582367911431616185089909920864117837914169514288058853299387425766527669789574788550113673956687600278392e-9
50	2	2	-3.14875534902762030381557341106313275425101803486203372030750468125910922921388738790792060784126718577374277292622346497948697074894883520214588770297149136552563168149757261878394128098916064853026e-22
100	1	1	-6.28537008591022659337663891557982186903821468660756105454052029787676310803260598587376119201824228207339022854558179004864340360919645971691442499000779245950026452301326750099251301586954306167403e-7
100	1	2	5.98303619628245072359866812987700589665635030943873644097999565354060487939529465596798133819856454963780882865225005046917803623492064949944135012729774022925135711254612656782679520121188900021585e-18
100	2	1	6.28537008591022659337663891557982186903821468660756105454052029787676310803260598587376119201824228207339022854558179004864340360919645971691442499000779245950026452301326750099251301586954306167403e-7
100	2	2	-5.98303619628245072359866812987700589665635030943873644097999565354060487939529465596798133819856454963780882865225005046917803623492064949944135012729774022925135711254612656782679520121188900021585e-18
150	1	1	-0.000064175925742395614936917080246417660717968565437234924082242964466609093677117538276133952793138857326189755140080367711417768562731858817191404728469530161108960142365102695748030071409751760293102
150	1	2	1.119176465660213036127063225271902013698320134008420783203241686457874340898551920209444287578210810461488255883024092438337314529227782396154626118851324322870719198910489491095232203245390152896971e-14
150	2	1	0.000064175925742395614936917080246417660717968565437234924082242964466609093677117538276133952793138857326189755140080367711417768562731858817191404728469530161108960142365102695748030071409751760293102
150	2	2	-1.119176465660213036127063225271902013698320134008420783203241686457874340898551920209444287578210810461488255883024092438337314529227782396154626118851324322870719198910489491095232203245390152896971e-14
200	1	1	-0.00242602049458701225056317091433706981601036389528999089271648892616449043095329228165699048552732374802333848192502029558700652753732762221912563841874166729701400413581405358828057165473295394508405
200	1	2	4.28146139708528795657348782851592003534946233093517709024556506541886989669054543158024899325435532503885301416752346803131831577536494686671322954871531771529330497215266068548341532659785888781925e-12
200	2	1	0.00242602049458701225056317091433706981601036389528999089271648892616449043095329228165699048552732374802333848192502029558700652753732762221912563841874166729701400413581405358828057165473295394508405
200	2	2	-4.28146139708528795657348782851592003534946233093517709024556506541886989669054543158024899325435532503885301416752346803131831577536494686671322954871531771529330497215266068548341532659785888781925e-12
250	1	1	-0.0466248884442042373221807920701950643363550860569459720202555545859451960256390798873385272008148386799236571364715100665654453069420232912069645389196943503661946083977096384281785594424288886747461
250	1	2	5.33935405256474160502164990358508516585184036555181339618969490942156078885857738260863625946027489504037363888479168387129729071740396192480366163648798631703236878862196413479185964445037459247499e-10
250	2	1	0.0466248884442042373221807920701950643363550860569459720202555545859451960256390798873385272008148386799236571364715100665654453069420232912069645389196943503661946083977096384281785594424288886747461
250	2	2	-5.33935405256474160502164990358508516585184036555181339618969490942156078885857738260863625946027489504037363888479168387129729071740396192480366163648798631703236878862196413479185964445037459247499e-10
