#	Tc	i	j	k_{i,j}
0	1	1	-1.61292906399098462632291365651534368692359382539869550423e9
0	1	2	2.656388230142148442772411907623638953070133871388786776993e9
0	1	3	5.691915792369401885828309762322454425965481833724005719123e9
0	1	4	1.269447379082728304058243756248549559662673999636990690669e-31
0	1	5	0
0	2	1	4.778163248052475468835972558185650318384646134557826611367e8
0	2	2	-3.357748852573204636525214983998479547359597840220487486067e10
0	2	3	2.788970010341272731469187529593445508646708627593606541577e10
0	2	4	0
0	2	5	0
0	3	1	1.1351127391857370794393162783046721489822906414155611921579e9
0	3	2	3.092110029558989792247973793236115652052584453081608808368e10
0	3	3	-3.358161589578212920052260073210779458123258204703411000265e10
0	3	4	0
0	3	5	3.381321298015800536516963394983358891267347578611095459771e-27
0	4	1	1.223921065061028385705273516509356841227042468597770577809e-16
0	4	2	0
0	4	3	0
0	4	4	-5.6554887458779626602583659944073560771793650273575186296271e10
0	4	5	3.8271585930855890949704480353453528524966772959900402951862e11
0	5	1	0
0	5	2	0
0	5	3	2.415673850885068800013937374038867765120057803955659692148e-12
0	5	4	5.6554887458779626602583659944073560771793523328837278023441e10
0	5	5	-3.8271585930855890949704480353453528525304905089701983005514e11
50	1	1	-6.944691854728217881274419655757103214452896984690138190457e9
50	1	2	7.091312911138841125492264832420172046376299821910008147266e9
50	1	3	1.567991905379268281629979167283090860561581345818752419338e10
50	1	4	0
50	1	5	6.543225439426775418489452738560218542942567221921149873131e-25
50	2	1	1.988979631204780560012400813521116482117322440941767942997e9
50	2	2	-7.456506787036039182645624405787681837349771396520694603265e10
50	2	3	5.98792432318822647736792988966388515078078323422443505713e10
50	2	4	0
50	2	5	0
50	3	1	4.955712223523437321259621472017735379455791610855117181424e9
50	3	2	6.747375495922155070096397922545664632712141414329693788539e10
50	3	3	-7.555916228567494759739719987388391006343944284957736307715e10
50	3	4	0
50	3	5	6.399002337304230802073312120618595590603090441462978278641e-22
50	4	1	0
50	4	2	0
50	4	3	0
50	4	4	-6.5862839025666978286966640714370435312479573155187881022647e10
50	4	5	6.8122615385977181881436537785793520646932784985722521775068e10
50	5	1	2.397370218251352879782932893253066036438935677315178602999e-12
50	5	2	0
50	5	3	7.418109304414149950015797049145488312472587166286628016459e-9
50	5	4	6.5862839025666978286966640714370435312479573155187881022647e10
50	5	5	-6.8122615385977181881436537785794161201489059351480270955225e10
100	1	1	-2.028644313645999203977919645277537424299903505007970633777e10
100	1	2	1.4396346037437558497730705694483153171169378059768720060731e10
100	1	3	3.341550985888292265150338368850426046398554081489341617045e10
100	1	4	2.020007993170986958964452971442362991392605701441396182882e-20
100	1	5	0
100	2	1	5.537857497711651905702074337922067817592600696922200694322e9
100	2	2	-1.3202374118522467296025074265611717379751344444389039226648e11
100	2	3	1.0251695462998228325271764817260791899911160244467219294051e11
100	2	4	0
100	2	5	0
100	3	1	1.4748585638748340130833934203217164027075986097800027753418e10
100	3	2	1.1762739514778711446252003696163402062634406638412167220575e11
100	3	3	-1.3593246448886520849726596976696067470033036271795843284079e11
100	3	4	0
100	3	5	3.65907465089461862187368632301334955599665937207993214812e-17
100	4	1	3.243187911636142398330448255357477890032752653633962717905e-9
100	4	2	0
100	4	3	0
100	4	4	-1.30399922753559363374103356071465808100704708038865570435838e11
100	4	5	6.6935313709029395155824298896158189281676664910843294405507e11
100	5	1	0
100	5	2	0
100	5	3	2.593044937905848495237233219458392823729828138878495784957e-6
100	5	4	1.30399922753559363374103356071445608020772998169275925906124e11
100	5	5	-6.6935313709029395155824298899817263932571283532716980728521e11
150	1	1	-4.648348138683344194470940619324570092361170874926833745064e10
150	1	2	4.263088589524615656690304195670523325710107270835711029802e10
150	1	3	4.670440358818493116512670843751542589054537867622042076197e10
150	1	4	8.301485218230824257648209550538581577720067940631404616563e-17
150	1	5	0
150	2	1	3.456503045179993201682808013487124273508372791882145656631e10
150	2	2	-2.391810856752056086392006491859054084838253470947908438822e11
150	2	3	6.244879940685582638969735882007424849350022913958014093021e11
150	2	4	0
150	2	5	0
150	3	1	1.1918450935033509114579002293934113151924263367775304992405e10
150	3	2	1.965501997799594520722976072292001752267242743864337335842e11
150	3	3	-6.711923976567437114374436172828861883009047824411646594623e11
150	3	4	0
150	3	5	6.428807451013616387312710264245448441259561478087153760862e-14
150	4	1	8.133023237644403450366037174626715758919341633560397103299e-7
150	4	2	0
150	4	3	0
150	4	4	-1.7665187262408178867109453708336271049506458592065104811023e11
150	4	5	8.4434006798167692575479761314477751148874585741233139726337e11
150	5	1	0
150	5	2	0
150	5	3	0.0005163753433206446282774753571123691428293982810186128604372
150	5	4	1.76651872624081788671094537000347858312756343344168952604844e11
150	5	5	-8.4434006798167692575479767743285202162490973053943403971786e11
200	1	1	-8.827455378319265534932365259802519635365710937658632956914e10
200	1	2	5.567653540045000591052950047598464087693180703542979815409e10
200	1	3	1.1610937477193618206563711170023124227010075557128770110963e11
200	1	4	7.701296552934656417437774750220608559922587363465597298388e-14
200	1	5	0
200	2	1	5.636295732493373832763553868232380640284067008536190480966e10
200	2	2	-4.138110563541743040949053147894440733397237881028993157373e11
200	2	3	1.3191266970262740350569342286802710638447095633815938401104e12
200	2	4	0
200	2	5	1.1343571016591570018863929542412504616618993208398110319649e-11
200	3	1	3.191159645825885446008909993826322937745997131493725545148e10
200	3	2	3.581345209537188788394491644230642469293342999886105543483e11
200	3	3	-1.43523607179821021712257134038050230611481031895288154122e12
200	3	4	0
200	3	5	0
200	4	1	0.0000625615990139774381605733564679762871693079883097211542267
200	4	2	0
200	4	3	0
200	4	4	-3.9968158543894251076795846906179556357980828320608335898162e11
200	4	5	6.7133542371057677258343013321674433124833055060635809083129e11
200	5	1	0
200	5	2	0.00541934492664989039518553345768107885896323484798660906549
200	5	3	0
200	5	4	3.9968158543894251076795839204883003423324410882833585677553e11
200	5	5	-6.7133542371057677258344147678776092281834941453590050333591e11
250	1	1	-4.400094572804897387715629507787344808430053894538782086427e11
250	1	2	1.7924094725134161352128573970712744359077255614377126147004e11
250	1	3	1.6664072241237160179041311105455649744611594322869339228426e11
250	1	4	1.0853799797774346583464178086310048230644256389196708442797e-11
250	1	5	0
250	2	1	3.648008191186979128704668755877928101847387092150986367698e11
250	2	2	-5.291292175080583241269349420475059369546299116233261247427e11
250	2	3	1.5778342267402350861796451660161105439083797227060531633902e12
250	2	4	5.792829823507673447789871801707894061081278938993030592566e-10
250	2	5	0
250	3	1	7.520863816178883607416123666396780782167765525615791484774e10
250	3	2	3.498882702566383069270998335783971493700903844686396701868e11
250	3	3	-1.7444749491526066879700582770706670413544956659347465556744e12
250	3	4	0
250	3	5	0
250	4	1	0.002989826934838526973862836589024982621657025185006296451734
250	4	2	0.07840367854936876198134399376697101091519308579057873635598
250	4	3	0
250	4	4	-2.33524324058870043543589849816041996786661741283992695561448e11
250	4	5	2.21857384104793603445722877165462953391781396906290493162516e12
250	5	1	0
250	5	2	0
250	5	3	0
250	5	4	2.33524324058870043542999713033893455095299289925735596107109e11
250	5	5	-2.21857384104793603445722877165462953391781396906290493162516e12
