#	Tc	i	j	k_{i,j}
0	1	1	-1.595805404543651293122414219350374040208225840109643396359450138942542993796329411018252197957831954416825134925381718981836197009642424661899881943452391911726841909686673737842901237177127570367085e9
0	1	2	2.894694785315598319516446254577376885247464811305299274912181974366974356759254204511320922782826531776906075017025584495706049623097885826495665262020840336077374778342989422140412504523282986646236e9
0	1	3	5.391107031059011550174336649875701379016830618242359235712958880344844927741665372940964364224461534273964031953224073938930894774898512146104624509464848608499534628565615087625746080481638788480121e9
0	1	4	-2.1029139173170558192193048819233518379870622370257218731320690522449188126935335885925645641130656561487769757668826792839942070254333171920926271597625182515848698929436182655569196362693243284334e-30
0	1	5	9.753173780938507948031291442018615067476507154148274703521776964978390188771680497691548610092298990245814853234099444046807952635992452652068180681240279874266401597006490066192899179039899162816e-30
0	2	1	5.050081394139068743817607854188231278698915425407710018546091492797727962243255123685195608783463629502854619550506389845680621662168435375589029656649373612539146037156387664114158525444100821708131e8
0	2	2	-3.072663941029361026588404877421757646049434949632849982999509965758571897071080782672333017644225244987897513659610171193577941497712819937055978605013063033402511497554928986040295758505630230889699e10
0	2	3	2.518198781214446736772155025626909685966266024006072912192837015915631202013865882239211836725080951877470925245840240169333826216989393438840613413418344668308787127118658957120731721195195741906204e10
0	2	4	4.623642714130522682947183945574258480199813746706341192762043776178306152896293803206829860590014259561049392626410162757458720799149945178132609845078398970480823565246158323585472624590019485291e-30
0	2	5	-2.0654815045124715561078626344283689213466083237701291219720466292826938166751693683955901858107746033273290934587195535978546973948908172417647017003084069983910405097469808924538751153158157604829e-28
0	3	1	1.0907972651297444187406555057391513587271915745308620622264918664165253987379550564797011562211082306211701230818232516820971095687075762917626926665084919754878134346251659070541888826618938931781888e9
0	3	2	2.783194462497801194636778714478467280709195347090290715489650507006704022285948845577522011966513442001909042180697404073038360623789903296964296733379207760820822259257756059964281277545847189630392e10
0	3	3	-3.057309484320347891789848010772235421064929143772754923747846715775848015429103936455328570267354221118700529689079995418090867227371703365588921829412273588649290595699772494324892186418404713446474e10
0	3	4	-1.8904472804214606532049800828661557950599106827327119658571705617318740345655769754557265263778524120832255693524876367500240652035716355786878093028170604422934324520839527896779568838887725962998e-29
0	3	5	3.68984671417362194442985011524397183603427994064340608257188647676212558898367174040370641038742004743775822205099560756744491172432153125688516776424443015547010111468545706333375904719995755091415e-27
0	4	1	-6.8747033721351614315882810483207433307155739013976891164898396286478793981441783729312641394258928187746498673191431840556575767492700275609449908075701216551883349402328918514170598195093067212672e-15
0	4	2	-2.9711636754627992164597786731662102052807399655755692824576120271478553974757517840084207363078875121332482881635863686194176286936533207813428284671266778702822826723105788998465599729882237548291e-13
0	4	3	1.526443874201916475757209286078114288720358507807374061746239639637063460829099557382420661569352143212925381113511373677375094906668575118783700741878924605410424984269319383366663050104564226394724e-12
0	4	4	-8.39115011517412736812560424060553879875814556913965661164499819636768041093757682452560991016875697737881212162933241724317138182786481879279190687600497659316943932660551338205923449550880825448429e9
0	4	5	5.67842386611881504207737275140897189333160829326002871359346294531593276725776387036912781887440964130774314219160401580651917452069618830709463265389295624728709328549296061938639538071496499741212e10
0	5	1	4.80289577168877257431131905865302167983882014619652316533200966012873777550502374248115264725420798979992458532397576234196885571184501267481633667663449895169030576382790993433019467654112504385811e-15
0	5	2	1.12491223073048076577191987610021206940687148261948020310927639503919534039073261379481845732875460903083944947639211283095217187077721817651887475452506406760533341778483836819927022031452663946732e-13
0	5	3	1.066757703354055494043370138382765548417759749515832348968929580565907737442058580949591817604126405426589947811075747701084555567772019786716356503641359810448146766181607539212248697753539287557422e-12
0	5	4	8.391150115174127368125604240605538798774529313147057751313320118132691062245963179843256410507698708272197474634785426783114381795166394310211890152670325477196215464867513109860072605851662978188326e9
0	5	5	-5.678423866118815042077372751408971893680913467010360043270172459640248123154473431911181963382230000387626601942096664212703068562339676916621745409728731412457718279239804817922471958204447970962647e10
50	1	1	-6.836272282200880271962345408840215856720765371813264022685087787859924219330970172208110043894882002795063300204514748992074501006762909278085008102989065963362442401600364999540311787399990975544659e9
50	1	2	8.01066407372816154766339923643213605064541498659883392276019116936382720086309493346490993840961125076716151328462418539284538350173311786736496512803808224755168764797785040124781308088877706568827e9
50	1	3	1.452100498079550073774390138911014144315014554585654556610214937704197766572143566066777825292552742426245710660306975402809597693959707666948306101133854688847547555633329111584702883359053190457883e10
50	1	4	-3.65886384835566890214498593363623133422012924819635476454284715918054426257125593758961617870977244291607356192480445231623648723636798971514062412396863342875801693392811701614053523431598586113e-24
50	1	5	4.072896243000641702288857931224419955555718382355629393426767343645777953302052465698314071874644177432929471108819871068204261033290427868732648270146151936154310693465655293558815732763393643763e-24
50	2	1	2.123110268768720185768011626355298048776376420328553618471755400236478270950268052794954042234046274832497696409674806409101392668714716970304999054460649220297108776340964921420510659459692935031862e9
50	2	2	-6.71043236176307917861880702219618958701427564634659103982287331664037955329093410321979969962273062181689594332514196081488002368167854542343806809935763366562803853785874981026078121063065716908427e10
50	2	3	5.283385283566624351795738766007551344963772180112861666965628658403259138483831891037052595159131588553383504315191084645119717624384106255796056363171407742529481535260796495377297691220229569728089e10
50	2	4	8.48105022110961101658214459480204566394505916023601321374370919515280891673019305061493566315710492168528932793424387446753892798333440927709185536468354412526486521664948992786983754337026028714e-24
