#	Tc	i	j	k_{i,j}
0	1	1	-1.61292906399098462632291365651534368692359382539869550423e9
0	1	2	4.252385080462998959164413599484362979172395443167050626625e9
0	1	3	1.106009558132424640577773835821573036338919476933187252423e-31
0	2	1	1.612929063990984626322913534123237180820755254871343853295e9
0	2	2	-4.252385080462998959165683694312487743963000171668734249607e9
0	2	3	4.3533571693209994535294845647964777766651365069128108045e-28
0	3	1	1.223921065061028385705273516509356841227042468597770577809e-16
0	3	2	1.270094828124764790604728501683622981781847286734381884079e-12
0	3	3	-4.354463178879131878170062338632299349701475426389743991753e-28
50	1	1	-6.944691854728217881274419655757103214452896984690138190457e9
50	1	2	1.1641700530919051465637969538650601199483469402840550586043e10
50	1	3	3.216434244433641383719493286506126488188982237404551963528e-25
50	2	1	6.944691854728217881272022285538851861573114051796885124421e9
50	2	2	-1.164170053091905146956820829687502993003330690989502174918e10
50	2	3	3.145538914783186662431853917776626627762829052624629168344e-22
50	3	1	2.397370218251352879782932893253066036438935677315178602999e-12
50	3	2	3.930238758224428730549837507054471163137185013235387125569e-9
50	3	3	-3.148755349027620303815573411063132754251018034862033720308e-22
100	1	1	-2.028644313645999203977919645277537424299903505007970633777e10
100	1	2	2.455865408878671417558770138305259324846621064294277239959e10
100	1	3	1.690645219213613073086927501621283805724131400670926729206e-20
100	2	1	2.028644313645999203653600854113923184466858679472222844774e10
100	2	2	-2.455865408878671556110189629618116917515964848279619744537e10
100	2	3	5.966129744090314592867798854860793058599108995432027173688e-18
100	3	1	3.243187911636142398330448255357477890032752653633962717905e-9
100	3	2	1.385514194913128575926693437839853425045783732540204725064e-6
100	3	3	-5.98303619628245072359866812987700589665635030943873644098e-18
150	1	1	-4.648348138683344194470940619324570092361170874926833745064e10
150	1	2	4.360605455652531314413542579855642592272245985945215128559e10
150	1	3	6.865163489293821118510933741185248609296327035374643336636e-17
150	2	1	4.648348138683344113140708242880535588700799128659676155871e10
150	2	2	-4.360605455652543676040279501612885553820056337528953243184e10
150	2	3	1.1123113021709192150085522915307167650890238069730461398666e-14
150	3	1	8.133023237644403450366037174626715758919341633560397103299e-7
150	3	2	0.0001236162673692175724296154781035158373811462510722539090835
150	3	3	-1.1191764656602130361270632252719020136983201340084207832032e-14
200	1	1	-8.827455378319265534932365259802519635365710937658632956914e10
200	1	2	6.858036084288530053086696845924871876332796001156620847154e10
200	1	3	4.827330602891865832550787023622021786887845659513734303004e-14
200	2	1	8.827455378319259278772463862058703578030064140029916026115e10
200	2	2	-6.858036084288956271882940606639582196592463756334874935548e10
200	2	3	4.233188091056369298247979958279699817480583874340039747216e-12
200	3	1	0.0000625615990139774381605733564679762871693079883097211542267
200	3	2	0.004262187962437607147103202596677551782540883939292912995856
200	3	3	-4.281461397085287956573487828515920035349462330935177090246e-12
250	1	1	-1.4938625038068689241124854617386826957309860911571883081454e11
250	1	2	9.941709875004211895969744104034607587052245586081507834985e10
250	1	3	9.820143683466559928610990968108162601666613865189067137297e-12
250	2	1	1.4938625038068474635023511458374678457069807670843038716292e11
250	2	2	-9.941709875011834467129439611386521127903719219637170153358e10
250	2	3	5.241152615730076005735539993904003539835174226899922724817e-10
250	3	1	0.002146061013431590121485002400532407288443651621591326248161
250	3	2	0.07622571159695507351913540851473633555662318373445548270925
250	3	3	-5.33935405256474160502164990358508516585184036555181339619e-10
