#	Tc	i	j	k_{i,j}
0	1	1	-1.61292906399098462632291365651534368692359382539869550423020041128865704922573467271452783488166696497071265097425237161595455840424009123019571677748123720940425091904233206354994108129288013564123e9
0	1	2	4.25238508046299895916441359948436297917239544316705062662541243270421173882100687879595466180726214009642733508140051162776961992977220342619147745139314934694904370388176235829254026452802961576675e9
0	1	3	1.10600955813242464057777383582157303633891947693318725242284847401342705521866692998294214467918300601945571260088320617609010771625510984356027512486720131182501147989429296469839312361989157762766e-31
0	2	1	1.61292906399098462632291353412323718082075525487134385329451628858441018944867689181362146698675705179768627405397267664468393152668472063403640663429483411916523252977838944359131923100853521954255e9
0	2	2	-4.25238508046299895916568369431248774396300017166873424960719427999094612070508627347664367914566585830130286904065289164455961470990356981675778460632624049141853128254593616799343301050500868939488e9
0	2	3	4.35335716932099945352948456479647777666513650691281080450032374535278105826269662495078807958933893673864127947965266320650225298040590916081038085669677678408394227324250489410531207675079213574809e-28
0	3	1	1.22392106506102838570527351650935684122704246859777057780900906367894909913173026376920279694971270626877555370596159310143186403090239018389263942619958621850284344916098680423635667888194975748584e-16
0	3	2	1.2700948281247647906047285016836229817818472867343818840793946806890173384037182048755339592523800167899947801313663905663071549330911444694875786641738097008927459769790736281242246641884580254868e-12
0	3	3	-4.35446317887913187817006233863229934970147542638974399175274659382679448531791529188077102173401811974466073519225354641267834308812216427065394113182164398539576728472239918707001046987441202732572e-28
50	1	1	-6.94469185472821788127441965575710321445289698469013819045735566495642094857221365963786153943113836266590796729544214058067651916785158882128175886760583788381441109004172678386494725669977533541604e9
50	1	2	1.16417005309190514656379695386506011994834694028405505860429427244793764630645656300582711359135772015502162651015442559104157659316481202407596759478055903624893996848965995826420394991950655821374e10
50	1	3	3.21643424443364138371949328650612648818898223740455196352760373310141923024263143217066857975723350608100374271775241448490368106925912021337036235171213333454754729837744214148129035228430509718394e-25
50	2	1	6.94469185472821788127202228553885186157311405179688512442091672927910576996921429754110739292785381540009202511934644982337924913968455385923636086810392515886974742993182710959435989689885888538751e9
50	2	2	-1.164170053091905146956820829687502993003330690989502174918012773771476358863339790728678809702566505657104961327165483844542033678853642316796055662567748218286158685307188061175934589071158025870451e10
50	2	3	3.14553891478318666243185391777662662776282905262462916834397707752600780998364475647574993926150995226766176918350571256500206706787957608193251734061977923219108413419919517664245999063687634343308e-22
50	3	1	2.39737021825135287978293289325306603643893567731517860299936209675414650328454726581594217609569075729727002816703496204539799950191272494466366010989967427058735980091645002853037844677030024277655e-12
50	3	2	3.93023875822442873054983750705447116313718501323538712556883227722851696111208785502083334817011058253500457085688830292720088067787189182037218716817528102911730639151651467656711542712991598786177e-9
50	3	3	-3.14875534902762030381557341106313275425101803486203372030750468125910922921388738790792060784126718577374277292622346497948697074894883520214588770297149136552563168149757261878394128098916064853026e-22
100	1	1	-2.02864431364599920397791964527753742429990350500797063377730585057769245152739436789517787907816606907049750044294185949435224229545739587840610002843550936203928677269739360687005910164896230109388e10
100	1	2	2.45586540887867141755877013830525932484662106429427723995874610351680683853959259617800821629023095515848267368192522623150237705361075433929369285664304361732587376795626604733588297947960284745355e10
100	1	3	1.69064521921361307308692750162128380572413140067092672920632780033960569953999874181679451419368707489723835677971270583077499698275888828778544526239061451228049885591770188739677438903682168853182e-20
100	2	1	2.02864431364599920365360085411392318446685867947222284477403058521429617973692609546506542993501756817363639474040551588458366660837482741188443108355647017498701936783885415582051393500977442849308e10
100	2	2	-2.45586540887867155611018962961811691751596484827961974453711935753727934497377286773373335021669356297093419819772672235631000315858247641569924880503387521983220169006550610645934125583556370261846e10
100	2	3	5.96612974409031459286779885486079305859910899543202717368793237553720882239989466854981339305662767888883644508445292341087028626509306061656349567467383408412855212398694954895282745732152078333053e-18
100	3	1	3.2431879116361423983304482553574778900327526536339627179046827243011244914314850089686110570253634360976857568708256846652166894487903918705226740485853945104954516663918787260079980424906613704009e-9
100	3	2	1.38551419491312857592669343783985342504578373254020472506434180271555725133926462607812451524515801496124807626104971722076405555948390831602506327922109240059123458276355960855164914900161840967992e-6
